word,tags,ipa,results
'sé,,ʃeː,'ʃɛ
-finn,,hən̠ʲ,fʲɪn̪n̪
-igh,Ulster; Connacht,j,ɪɟ
-igh,Connacht,iː,ɪɟ
-sean,,ʃənˠ,ʃɑn̪
-ídís,,iːdʲiːʃ,ɪdʲiʃ
-ím,,iːmʲ,ɪmʲ
-ímis,,iːmʲəʃ,ɪmʲiʃ
-ófar,,oˠhəɾˠ,ɔfˠəɾˠ
-óidh,Connacht,oː(j),ɛdʲ
-úint,Munster; Connacht,uːn̠ʲtʲ,ɪn̪t̪
Airméanach,,ˈaɾʲəmʲeːnˠəx,aiɾʲmʲən̪əx%1
Alban,,"nə ˈhaləbˠənˠ, ˈaləbˠənˠ",ɑl̪bˠən̪
Aoibhe,,ˈiːvʲə,ɑibʲçi
Aoine,,ˈiːnʲə,ɑən̪ə
Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə,ɑən̪ə ɑn̪ cçɑsˠt̪ə
Araibis,,ˈaɾˠəbʲəʃ,ɑɾʲibʲiʃ
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",bʲail̪ə bɾʲɪɟən̪
Baile Átha Cliath,Munster; Connacht,ˌbʲlʲɑː ˈclʲiə,bʲail̪ə ɑt̪hə kl̪iət
Bhrasaíl,,vˠɾˠaˈsˠiːlʲ,bˠhɾˠɑʃəl̪
Bhríd,,vʲɾʲiːdʲ,bˠhɾʲɪdʲ
Caoimhín,Connacht,ˈkiːvʲiːnʲ,cæimʲçən̪
Ceatharlach,Connacht,ˈcɑːɾˠl̪ˠəx,cɑt̪həɾˠl̪əx%1
Cheatharlach,Connacht,ˈçɑːɾˠl̪ˠəx,cçɑt̪həɾˠl̪əx%1
Ciarraí,,ˈciəɾˠiː,ciərɾʲi
Cloch na Blarnan,Munster; Connacht,ˌklˠɔx n̪ˠə ˈbˠlˠɑːɾˠn̪ˠənˠ,kl̪ʊk n̪ɑ bˠl̪ɑɾˠn̪ən̪
Connacht,Connacht,ˈkʊn̪ˠəxt̪ˠ,ˈkʊn̪ˠəxt̪ˠ
Cróitis,,ˈkɾˠoːtʲəʃ,kɾʲɛtʲiʃ
Cáit,,"kaːtʲ, kɑːtʲ",caitʲ
Deirdre,,ˈdʲɛɾˠdʲɾʲə,dʲɛɾʲdɾʲi
Dhia,,jiə,dʲçiə
Dia dhaoibh,,ˌdʲiə ˈɣiːvʲ,dʲiə dʲçæibʲ
Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ,dʲiə'sˠ mˠɪɾʲi d̪ɪtʲ
Dubhghall,,ˈd̪ˠʊwəl̪ˠ,d̪ɔbˠhghəl̪l̪
Dubhghus,,ˈd̪ˠuːɣusˠ,d̪ɔbˠhghəsˠ
Dún Éideann,,"ˈd̪ˠuːnˠ ˈeːdʲən̪ˠ, ˈd̪ˠuːn̪ˠ ˈeːdʲən̪ˠ",d̪ɔn̪ ɛdʲən̪ˠ%1
Fearghal,,ˈfʲaɾˠəlˠ,fʲæɾˠghəl̪
Fhaoilleach,Connacht,ˈiːl̠ʲəx,fʲçæəl̪l̪əx%1
Fhionlainnis,,ˈɪn̪ˠl̪ˠən̠ʲɪʃ,fˠhɪn̪l̪ən̪n̪iʃ
Fionlainnise,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃə,fˠɪn̪l̪ən̪n̪iʃi
Gaeilge na hAlban,,"ˈɡeːlʲɟɪ nˠə ˈhalˠəbˠənˠ, ˈɡeːlʲɟɪ n̪ˠə ˈhal̪ˠəbˠən̪ˠ",ɟeːəlɟi n̪ɑ hɑl̪bˠən̪
Gardaí,Connacht,ˈɡɑːɾˠd̪ˠiː,gɑrdʲi
Giúdach,Munster; Connacht,ˈɟuːd̪ˠəx,ɟɪəd̪əx%1
Iacób,,ˈiəkoːbˠ,iəkəbˠ
Imánál,,ɪˈmˠɑːn̪ɑːl̪ˠ,ɪmˠən̪əl̪
Iorua,Ulster; Connacht,ˈɪɾˠuə,ɪɾˠə
