word,tags,ipa,results
-fas,,həsˠ,fˠasˠ
-finn,,hən̠ʲ,fʲən̠ʲ
-íteá,,iːtʲaː,ɪtʲi
Albain Nua,,ˈalˠəbˠə ˈn̪ˠuə,albʲən̪ n̪ua
Aoine,,ˈiːnʲə,aən̪ə
Bascais,,ˈbˠasˠkəʃ,bˠasciʃ
Bh,,"vʲ, w",b
Bhaile Átha Cliath,Munster; Connacht,ˌvʲlʲɑː ˈclʲiə,bʲçail̪ə at̪hə kl̪iət
Bré,,bʲɾʲeː,bɾʲɛ
Béarlóireacht,Connacht,ˈbʲeːɾˠl̪ˠoːɾʲəxt̪ˠ,bʲæɾˠl̪iɾʲəkht̪
Caoimhe,,ˈkiːvʲə,cæimʲçi
Carghas,Connacht,ˈkaɾˠiːsˠ,kaɾˠghəsˠ
Cathal,,ˈkahəlˠ,kat̪həl̪
Cian,,ˈciənˠ,ciən̪
Coirnis,,ˈkoːɾˠnʲɪʃ,cɛɾʲn̪iʃ
Corn na Breataine,,kɔrˠnˠ nˠə ˈbʲrʲatˠənʲə,kəuɾˠn̪ n̪a bɾʲɑtʲən̪ə
Cróitis,,ˈkɾˠoːtʲəʃ,kɾʲɛtʲiʃ
Cáit,,"kaːtʲ, kɑːtʲ",caitʲ
Cóbh,,koːvˠ,kʊb
Deireadh Fómhair,,dʲeɾʲə fuːwəɾʲ,dʲɛɾʲə fˠɛmʲçiɾʲ
Dh,,"j, ɟ, ɣ",d
Donncha,,"ˈd̪ˠɔn̪ˠəxə, ˈd̪ˠʊn̪ˠəxə",d̪ʊn̪n̪khʊ̽
Dubhghall,,ˈd̪ˠʊwəl̪ˠ,d̪ʊbˠhghʊ̽l̪l̪
Dún Éideann,,"ˈd̪ˠuːnˠ ˈeːdʲən̪ˠ, ˈd̪ˠuːn̪ˠ ˈeːdʲən̪ˠ",d̪ʊn̪ ɛdʲən̪ˠ
Eoin,,oːnʲ,oːən̪
Faoilleach,Connacht,ˈfˠiːl̠ʲəx,fʲæəl̪l̪əx
Feardorcha,,ˈfʲaɾˠd̪ˠɔɾˠəxə,fʲæɾˠd̪əɾˠkhə
Fhranc,,ˈɾˠaŋk,fˠhɾˠank
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,fʲɪn̪ə ɟeːl̪
Fraincis,,ˈfˠɾˠaɲcɪʃ,fɾʲainciʃ
Gaelach,Connacht,ˈɡeːlˠəx,ɟeːl̪əx
Gearmáinis,Connacht,ˈɟaɾˠəmˠɑːnʲɪʃ,ɟærmʲən̪iʃ
Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ",ɪdʲiɾʲl̪ən̪
Liatroim,,ˈl̠ʲiət̪ˠɾˠəmʲ,l̪iətɾʲimʲ
Luan,,"l̪ˠuənˠ, l̪ˠuən̪ˠ",l̪uan̪
Lá Fhéile Pádraig,,ˌl̪ˠɑː ˌeːlʲə ˈpˠɑːɾˠɪc,l̪a fʲçɛl̪ə pˠadɾʲiɟ
Máirt,,mˠaːɾˠtʲ,mʲɑːɾʲt̪
Máiréad,Connacht,ˈmˠɑːɾʲeːd̪ˠ,mʲaiɾʲəd̪
Niocláis,,ˈn̠ʲɪklˠaːʃ,n̪ɪkl̪iʃ
Nollag,Connacht,ˈn̪ˠolˠək,n̪ʊl̪l̪ʊ̽g
Pháras,Munster; Connacht,ˈfˠɑːɾˠəsˠ,pˠhaɾˠəsˠ
Polainn,Kerry; Connacht,ˈpˠɔlˠən̠ʲ,pˠʊl̪ʊ̽ən̠ʲ
Port Laoise,,pˠɔɾˠt̪ˠ ˈl̪ˠiːʃə,pˠəuɾˠt̪ l̪aiʃi
Rián,,ˈɾˠiː.ɑːnˠ,ɾʲiən̪
Rómáinis,Connacht,ˈɾˠoːmˠɑːnʲəʃ,ɾˠɛmʲən̪iʃ
Sasana,,"ˈsˠasˠənˠə, ˈsˠasˠən̪ˠə",sˠasˠən̪ə
Seapáin,,ˈʃapˠɑːnʲ,ʃɑpʲən̪
Siobhán,,ˈʃʊwaːn̪ˠ,sˠɪbˠhən̪
Sord Cholm Cille,Connacht,"ˌsˠauɾˠd̪ˠ xɔlˠəm ˈcɪl̠ʲə, ˌsˠauɾˠd̪ˠ xɔl̪ˠəm ˈcɪl̠ʲə",sˠəuɾˠd̪ khʊl̪mˠ cɪl̪l̪ə
Stiofáin,Connacht,ˈʃtʲʊfˠɑːnʲ,sˠt̪ɪfʲən̪
Séarlas,,ˈʃeːɾˠl̪ˠəsˠ,ʃæɾˠl̪əsˠ
Tadhg,Munster; Connacht,t̪ˠai(ə)ɡ,t̪ad̪hg
Tuircis,,ˈt̪ˠʊɾʲcɪʃ,t̪ɪɾʲciʃ
Uasal,,ˈuəsˠəlˠ,uasˠəl̪
Ungáiris,,"ʊŋˠˈɡaːrʲɪʃ, ˈʊŋˠɡaːrʲɪʃ",ʊnɟiɾʲiʃ
VEID,,vʲɛdʲ,vɛdʲ
a chara,,ə ˈxaɾˠə,a khaɾˠə
a',,ə,a'
abarthar,,ˈabˠəɾˠhəɾˠ,abˠəɾˠt̪həɾˠ
abhac,,auk,abˠhək
abraid,,ˈabˠɾˠədʲ,abɾʲidʲ
abú,,əˈbˠuː,abˠə
acsón,Connacht,"ˈaksˠoːnˠ, ˈaksˠuːnˠ",aksˠən̪
aer,Ulster; Munster; Connacht,eːɾˠ,eːɾʲ
aeróstach,Connacht,ˈeːɾˠˌoːsˠt̪ˠəx,eːɾˠəsˠt̪əx
aghaidh,Aran; Connacht,ai,aɟçiː
aici,Connacht,"ˈɛciː, ˈɛcə",aici
aicmí,,ˈacmʲiː,aicmʲi
aigéan,,aɟeːnˠ,aiɟən̪
aineolaí,Cois-Fharraige; Connacht,ˈaːn̪ˠoːl̪ˠiː,ain̪oːl̪ə
airc,,aɾʲc,ɑːɾʲk
airgeadúla,Connacht,ˈaɾʲɪɟəd̪ˠuːlˠə,aiɾʲɟəd̪əl̪ə
airnéis,Connacht,ˈɑːɾˠn̠ʲeːʃ,aiɾʲn̪iʃ
alt,,al̪ˠt̪ˠ,al̪t̪
altann,,ˈal̪ˠt̪ˠən̪ˠ,al̪t̪ən̪ˠ
altar,,ˈal̪ˠ.t̪ˠəɾˠ,al̪t̪əɾˠ
amadán,Galway; Connacht,ˈamˠəd̪ˠɑːn̪ˠ,amˠəd̪ən̪
amas,,ˈamˠəsˠ,amˠəsˠ
amharclann,,ˈəuɾˠklˠən̪ˠ,amˠhəɾˠkl̪ən̪ˠ
anfa,,ˈanˠəfˠə,an̪fˠə
anmain,,ˈanˠəmˠənʲ,anmʲən̪
anuas,,əˈn̪ˠuəsˠ,an̪əsˠ
aníos,,əˈn̠ʲiːsˠ,an̪əsˠ
aoibh,,ˈiːvʲ,aibʲ
aoine,,ˈiːnʲə,aən̪ə
aoire,Ulster; Connacht,ˈiːɾʲə,aiɾʲi
