word,tags,ipa,results
Daingean,Connacht,"ˈd̪ˠaŋənˠ, ˈd̪ˠaŋən̪ˠ, ˈd̪ˠæŋənˠ, ˈd̪ˠæŋən̪ˠ",dʲainɟən̪
Deirdre,,ˈdʲɛɾˠdʲɾʲə,dʲɛɾʲdɾʲi
Dhia,,jiə,dʲçiə
Dia dhaoibh,,ˌdʲiə ˈɣiːvʲ,dʲiə dʲçæibʲ
Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ,dʲiə'sˠ mˠɪɾʲi d̪ɪtʲ
Diarmaid,,ˈdʲiəɾˠmˠədʲ,dʲiərmʲidʲ
Dubhghus,,ˈd̪ˠuːɣusˠ,d̪ɔbˠhghəsˠ
Dé Céadaoin,,dʲeː ˈceːd̪ˠiːnʲ,dʲɛ cɑdʲiən̪
Dé hAoine,Munster; Connacht,dʲeː ˈhiːnʲə,dʲɛ çæən̪ə
Eastóinis,,"asˠˈtˠoːnʲɪʃ, ˈasˠtˠoːnʲɪʃ",ɑstʲən̪iʃ
Eithne,,"ˈɛhnʲə, ˈɛnʲə",ɛtʲhn̪ə
Fhranc,,ˈɾˠaŋk,fˠhɾˠɑnk
Fhranca,,ˈɾˠaŋkə,fˠhɾˠɑn̪kə
Franc,,ˈfˠɾˠaŋk,fˠɾˠɑnk
Gaedhlaing,,ˈɡeːlɪɲ,ɟeːdʲhl̪əng
Gael,,"ɡeːlˠ, ɡeːl̪ˠ",ɟeːl̪
Ghaelach,Connacht,ˈɣeːlˠəx,ɟçeːl̪əx
Ghaelach,Munster; Connacht,ˈɣeːl̪ˠəx,ɟçeːl̪əx
Imánál,,ɪˈmˠɑːn̪ɑːl̪ˠ,ɪmˠən̪əl̪
India,,ˈɪnʲdʲiə,ɪndʲi
Iodáil,Connacht,ˈɪd̪ˠɑːlʲ,ɪdʲəl̪
Iorua,Ulster; Connacht,ˈɪɾˠuə,ɪɾˠə
Iúil,,uːlʲ,ɪəl̪
Luimneach,,ˈl̪ˠɪmʲənʲəx,l̪ɪmʲn̪əx
Lá Fhéile,,ˌl̪ˠɑː ˈeːlʲə,l̪ɑ fʲçɛl̪ə
