word,tags,ipa,results
'ur,Connacht,ə,'ɔɾˠ
-aimid,,əmʲɪdʲ,aimʲədʲ
-aí,,iː,ai
-fí,,"fʲiː, hiː",fʲɪ
-ithe,,"i(ː)ʃtʲə, iː",ɪtʲçi
-ígí,,iːɟiː,ɪɟi
-ím,,iːmʲ,ɪmʲ
-ímid,,iːmʲədʲ,ɪmʲədʲ
-ímis,,iːmʲəʃ,ɪmʲiʃ
-ófaí,,oːhiː,ɛfʲi
Afganastáin,,"-ˈɡanˠə-, afˠˈɡan̪ˠəsˠt̪ˠɑːnʲ",ɑfˠgən̪əstʲən̪
Albain Nua,,ˈalˠəbˠə ˈn̪ˠuə,ɑlbʲən̪ n̪ua
Aodhagán,Connacht,"ˈiːɡɑːnˠ, ˈiːɡɑːn̪ˠ",ɑəd̪həgən̪
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",bʲail̪ə bɾʲɪɟən̪
Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx,bʲail̪ə n̪ɑ mʲain̪iʃtɾʲəx
Bascais,,ˈbˠasˠkəʃ,bˠɑsciʃ
Bhríd,,vʲɾʲiːdʲ,bˠhɾʲɪdʲ
Bhéarla,,ˈvʲeːɾˠlˠə,bʲçæɾˠl̪ə
Bríd,,bʲɾʲiːdʲ,bɾʲɪdʲ
Caiseal,,"ˈkaʃəlˠ, ˈkaʃəl̪ˠ",caiʃəl̪
Caitliceach,Munster; Connacht,ˈkatʲlʲɪcəx,caitʲl̪icəx
Carghais,Connacht,ˈkaɾˠiːʃ,kɑrɟçiʃ
Ceatharlach,Connacht,ˈcɑːɾˠl̪ˠəx,cɑt̪həɾˠl̪əx
Ch,,"x, ç",k
Chonnacht,Connacht,ˈxʊn̪ˠəxt̪ˠ,khɔn̪n̪əkht̪
Clocha Liatha,Ulster; Connacht,"n̪ˠə ˌklˠɔxə ˈl̠ʲiəhə, n̪ˠə ˌkl̪ˠɔxə ˈl̠ʲiəhə",kl̪ʊkhə l̪iət̪hə
Cléire,,ˈclʲeːɾʲə,kl̪ɛɾʲi
Connacht,Connacht,ˈkʊn̪ˠəxt̪ˠ,ˈkʊn̪ˠəxt̪ˠ
Daingean,Connacht,"ˈd̪ˠaŋənˠ, ˈd̪ˠaŋən̪ˠ, ˈd̪ˠæŋənˠ, ˈd̪ˠæŋən̪ˠ",dʲainɟən̪
Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ,dʲiə'sˠ mˠɪɾʲi d̪ɪtʲ
Dochartach,Munster; Connacht,ˈd̪ˠɔxəɾˠt̪ˠəx,d̪ʊkhəɾˠt̪əx
Eibhlín,Connacht,ˈɛvʲəlʲiːnʲ,ɛbʲhl̪ən̪
Fearghal,,ˈfʲaɾˠəlˠ,fʲæɾˠghəl̪
Fianna Fáil,,ˈfʲiən̪ˠə ˈfˠɑːlʲ,fʲiən̪n̪ə fʲail̪
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,fʲɪn̪ə ɟeːl̪
Fionlainnise,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃə,fˠɪn̪l̪ən̪n̪iʃi
Fionnabhair,,ˈfʲɪn̪ˠuːɾʲ,fˠɪn̪n̪ibʲçiɾʲ
Fionnghall,,fʲuːnɣal,fˠɪn̪n̪ghəl̪l̪
Gaeil,,ɡeːlʲ,ɟeːəl̪
Gaeilic,,ˈɡeːlʲic,ɟeːəl̪ic
Gh,,"j, ɟ, ɣ",g
Ghaelach,Munster; Connacht,ˈɣeːl̪ˠəx,ɟçeːl̪əx
Giúdach,Munster; Connacht,ˈɟuːd̪ˠəx,ɟɪəd̪əx
Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ",ɪdʲiɾʲl̪ən̪
Imánál,,ɪˈmˠɑːn̪ɑːl̪ˠ,ɪmˠən̪əl̪
Indiacha,Connacht,ˈinʲiəxə,ɪndʲəkhə
Iorua,Ulster; Connacht,ˈɪɾˠuə,ɪɾˠə
Macha,,ˈmˠaxə,mˠɑkhə
Mhacha,,ˈwaxə,mˠhɑkhə
Mhuire,Ulster; Connacht,ˈwɪɾʲə,mˠhɪɾʲi
Mháire,Connacht,ˈwɑːɾʲə,mʲçaiɾʲi
Muileann gCearr,,"ənˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ, ən̪ˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ",mˠɪl̪ən̪ˠ gcæɾˠɾˠ
Mí,,mʲiː,mʲɪ
Nollaig,Connacht,"ˈn̪ˠolˠəc, ˈn̪ˠol̪ˠəc",n̪ɔl̪l̪iɟ
Oireachtas,Connacht,ˈɛɾʲəxt̪ˠəsˠ,ɛɾʲəkht̪əsˠ
Ostair,,ˈɔsˠt̪ˠəɾʲ,ɔstʲiɾʲ
Peirs,,pʲɛɾʲʃ,pʲəiɾʲsˠ
Polainnis,,ˈpˠɔl̪ˠən̠ʲɪʃ,pˠɔl̪ən̪n̪iʃ
Róimh,,ˈɾˠõːvʲ,ɾʲiːmʲ
Rúisis,,ˈɾˠuːʃəʃ,ɾˠɪʃiʃ
SEIF,,ʃɛfʲ,ʃɛfʲ
Sabóid,Connacht,ˈsˠabˠoːdʲ,sˠɑbʲidʲ
Samhain,Connacht,"sˠəunʲ, ˈsˠɑvˠən",sˠɑmʲçən̪
Samhna,,ˈsˠəʊnˠə,sˠɑmˠhn̪ə
Sasana,,"ˈsˠasˠənˠə, ˈsˠasˠən̪ˠə",sˠɑsˠən̪ə
Seán,Munster; Connacht,ʃɑːn̪ˠ,ʃɑn̪
Sheoirse,Munster; Connacht,ˈçoːɾˠʃə,ʃçoːiɾʲʃi
Sheáin,Munster; Connacht,"çɑːnʲ, çɑ̃ːnʲ",ʃçain̪
Shligigh,Connacht,ˈhlʲɪɟiː,sˠhl̪ɪɟiɟ
Sprantais,,ˈsˠpˠrˠan̪ˠt̪ˠɪʃ,sˠpˠɾˠɑntʲiʃ
