sloga	ˈsˠlˠɔɡə	ˈsˠl̪ˠɔɡə	false	1
Uasal	ˈuəsˠəlˠ	ˈuəsˠəlˠ	true	0
milseog	ˈmʲɪl̠ʲʃoːɡ	ˈmʲɪl̠ʲʃoːɡ	true	0
tiarna	ˈtʲiəɾˠn̪ˠə	ˈtʲiəɾˠn̪ˠə	true	0
Arabach	ˈaɾˠəbˠəx	ˈaɾˠəbˠəx	true	0
citeal	ˈcɪtʲəlˠ	ˈcɪtʲəlˠ	true	0
fúmsa	ˈfˠuːmˠsˠə	ˈfˠuːmˠsˠə	true	0
druidim	ˈd̪ˠɾˠɪdʲəmʲ	ˈd̪ˠɾˠɪdʲəmʲ	true	0
chomhair	ˈxəwəɾʲ	xoːɾʲ	false	4
chirt	çɪɾˠtʲ	çɪɾˠtʲ	true	0
ort	ɔɾˠt̪ˠ	ɔɾˠt̪ˠ	true	0
led	lʲɪdʲ	lʲɛd̪ˠ	false	3
thú	huː	huː	true	0
catán	ˈkat̪ˠɑːnˠ	ˈkat̪ˠɑːnˠ	true	0
fúm	fˠuːmˠ	fˠuːmˠ	true	0
taisteal	ˈt̪ˠaʃtʲəlˠ	ˈt̪ˠaʃtʲəl̪ˠ	false	1
as a chéile	asˠ əˈçeːlʲə	asˠ ə ˈçeːlʲə	false	1
tchíthear	ˈtʲçiːhəɾˠ	ˈtʲihəɾˠ	false	2
chreach	çɾʲax	çɾʲax	true	0
léis	lʲeːʃ	l̠ʲeːʃ	false	1
déanach	ˈdʲeːn̪ˠəx	ˈdʲeːn̪ˠəx	true	0
héis	heːʃ	heːʃ	true	0
bhfáinne	ˈwɑːnʲə	ˈwɑːn̠ʲə	false	1
tagaimid	ˈt̪ˠaɡəmʲədʲ	ˈt̪ˠaɡəmʲədʲ	true	0
Ruairí	ˈɾˠuəɾʲiː	ˈɾˠuəɾʲiː	true	0
ngrian	ˈŋɾʲiən̪ˠ	ɲɾʲiənˠ	false	3
dromchla	ˈd̪ˠɾˠɔmˠxlˠə	ˈd̪ˠɾˠɔmˠxlˠə	true	0
croíthe	ˈkɾˠoiːhə	ˈkɾˠiːhɪ	false	2
deasú	ˈdʲasˠuː	ˈdʲasˠuː	true	0
áille	ˈɑːlʲə	ˈɑːl̠ʲə	false	1
meacan	ˈmʲakən̪ˠ	ˈmʲakən̪ˠ	true	0
deinid	ˈdʲɛnʲədʲ	ˈdʲɪnʲədʲ	false	1
pinc	pʲɪn̠ʲc	pʲɪɲc	false	3
maoilín	ˈmˠiːlʲiːnʲ	ˈmˠiːlʲiːnʲ	true	0
chú	xuː	xuː	true	0
mhaith	wa	wa	true	0
barúil	ˈbˠaɾˠúlʲ	ˈbˠaɾˠuːlʲ	false	2
diúracas	ˈdʲuːɾˠəkəsˠ	ˈdʲuːɾˠəkəsˠ	true	0
ómrach	ˈoːmˠɾˠəx	ˈuːmˠɾˠəx	false	1
cá háit	kɑːˈhɑːtʲ	kɑːˈhɑːtʲ	true	0
amharc	ˈəwəɾˠk	ˈaːfˠɾˠək	false	5
bhog	wɔɡ	wɔɡ	true	0
áirid	ˈɑːɾʲədʲ	ˈɑːɾʲədʲ	true	0
ded	dʲɪdʲ	dʲɛd̪ˠ	false	3
tráchtaigí	ˈt̪ˠɾˠɑːxt̪ˠəɟiː	ˈt̪ˠɾˠɑːxt̪ˠəɟiː	true	0
mbeid	mʲɛdʲ	mʲɛdʲ	true	0
dúnfad	ˈd̪ˠuːn̪ˠfˠəd̪ˠ	ˈd̪ˠuːnˠhəd̪ˠ	false	3
dharna	ˈɣaɾˠn̪ˠə	ˈɣɑːɾˠn̪ˠə	false	2
suipéar	ˈsˠɪpʲeːɾˠ	ˈsˠɪpʲeːɾˠ	true	0
crua-ae	ˈkɾˠuə-eː	ˈkɾˠuəiju	false	3
sáinn	sˠɑːnʲ	sˠɑːn̠ʲ	false	1
slí	ʃlʲiː	ˈʃl̠ʲiː	false	2
goidim	ˈɡɛdʲəmʲ	ˈɡɞdʲəmʲ	false	1
athar	ˈahəɾˠ	ˈahəɾˠ	true	0
huaisle	ˈhuəʃlʲə	ˈhuəʃl̠ʲə	false	1
crúca	ˈkɾˠuːkə	ˈkɾˠuːkə	true	0
aicme	ˈacmʲə	ˈacmʲə	true	0
dínn	dʲiːnʲ	dʲiːn̠ʲ	false	1
nuaí	ˈn̪ˠuəiː	ˈn̪ˠuːiː	false	1
shloinne	ˈhlˠɪnʲə	ˈ(h)l̪ˠɪn̠ʲə	false	4
othar	ˈɔhəɾˠ	ˈɔhəɾˠ	true	0
tsealg	tʲʃal̪ˠɡ	ˈtʲalˠəɡ	false	4
tS	t̪ˠsˠ	t̪ˠ	false	2
catach	ˈkat̪ˠəx	ˈkat̪ˠəx	true	0
Blarna	ˈbˠlˠaɾˠn̪ˠə	ˈbˠlˠɑːɾˠn̪ˠə	false	2
eascann	ˈasˠkən̪ˠ	ˈasˠkən̪ˠ	true	0
ró-	ɾˠoː-	ɾˠoː	false	1
cúinne	ˈkúnʲə	ˈkuːn̠ʲə	false	3
is cuma	əsˠ ˈkʊmˠə	əsˠ ˈkʊmˠə	true	0
fúinne	ˈfˠúnʲə	ˈfˠuːn̠ʲə	false	3
slige	ˈʃlʲɪɟɪ	ˈʃl̠ʲɪɟɪ	false	1
dúinne	ˈd̪ˠúnʲə	ˈd̪ˠuːn̠ʲə	false	3
Róisín	ˈɾˠóʃiːnʲ	ˈɾˠoːʃiːnʲ	false	2
urla	ˈʊɾˠlˠə	ˈuːɾˠl̪ˠə	false	3
fiú	ˈfʲuː	fʲuː	false	1
Éamann	ˈeːmˠən̪ˠ	ˈeːmˠən̪ˠ	true	0
Rúise	ˈɾˠúʃə	ˈɾˠuːʃə	false	2
eitiú	ˈɛtʲuː	ˈɛtʲuː	true	0
orla	ˈɔɾˠlˠə	ˈɔːɾˠl̪ˠə	false	2
measc	mʲasˠk	mʲasˠk	true	0
liú	ˈlʲuː	l̠ʲuː	false	2
chímid	ˈçiːmʲɪdʲ	ˈçiːmʲɪdʲ	true	0
argóint	ˈaɾˠəɡón̠ʲtʲ	ˈaɾˠəɡoːnʲtʲ	false	3
deasc	dʲasˠk	dʲæsˠk	false	1
feilm	fʲɛl̠ʲmʲ	ˈfʲɛlʲəmʲ	false	3
iad	ˈiəd̪ˠ	iəd̪ˠ	false	1
-as	-asˠ	əsˠ	false	2
traochta	ˈt̪ˠɾˠiːxt̪ˠə	ˈt̪ˠɾˠiːxt̪ˠə	true	0
riarann	ˈɾˠiəɾˠən̪ˠ	ˈɾˠiəɾˠən̪ˠ	true	0
idirghuí	ˈɪdʲəɾˠɣuiː	ˈɪdʲərʲˌɣiː	false	4
adharc	ˈaiəɾˠk	ˈai(ə)ɾˠk	false	2
Éirinn	ˈeːɾʲənʲ	ˈeːɾʲən̠ʲ	false	1
Pholainn	ˈfˠɔlˠənʲ	ˈfˠɔlˠən̠ʲ	false	1
sách	sˠɑːx	sˠɑːx	true	0
tric	tʲɾʲɪc	tʲɾʲɪc	true	0
